"Date","Region","Amount"
"2024-08-21","East","371.29"
"2024-05-20","South","1723.82"
"2024-12-28","East","2208.38"
"2024-05-27","North","861.05"
"2024-06-01","East","3839.01"
"2024-12-08","East","3873.18"
"2024-09-12","South","4543.18"
"2024-10-05","East","4833.9"
"2024-10-27","East","439.39"
"2024-10-26","East","3047.97"
"2024-02-06","North","4258.71"
"2024-11-30","South","3847.16"
"2024-03-01","East","815.94"
"2024-07-04","North","2559.42"
"2024-08-09","East","2041.04"
"2024-10-09","East","1122.4"
"2024-07-26","West","2869.09"
"2024-09-25","East","4213.06"
"2024-08-27","South","4086.59"
"2024-02-02","North","4260.08"
"2024-04-05","East","392.82"
"2024-10-30","West","741.91"
"2024-04-22","North","1983.83"
"2024-12-31","South","4287"
"2024-08-16","East","1067.96"
"2024-05-28","East","774.8"
"2024-07-27","East","187.28"
"2024-11-10","West","3213.9"
"2024-01-14","West","2421.25"
"2024-01-04","West","4812.23"
"2024-12-14","East","3454.11"
"2024-04-18","East","2732.5"
"2024-06-10","South","4057.71"
"2024-04-07","West","2787.62"
"2024-10-28","North","3341.65"
"2024-09-17","East","4320.87"
"2024-08-22","East","3642.54"
"2024-09-04","North","2626.81"
"2024-10-31","West","4602.89"
"2024-06-04","South","4680.85"
"2024-08-28","West","1293.52"
"2024-06-03","East","3520.09"
"2024-03-03","West","4739.19"
"2024-08-29","South","1951.69"
"2024-04-30","West","2964.35"
"2024-06-20","East","3450.79"
"2024-12-22","West","1358.69"
"2024-08-12","West","155.32"
"2024-03-28","West","2821.7"
"2024-03-02","West","4229.18"
"2024-08-14","East","4926.56"
"2024-11-15","North","919.9"
"2024-04-21","West","2655.13"
"2024-12-18","North","3936.51"
"2024-11-30","South","1499.67"
"2024-05-06","West","1150.79"
"2024-12-06","West","1889"
"2024-03-27","West","2384.76"
"2024-09-05","East","4656.14"
"2024-03-26","East","3882.52"
"2024-02-22","East","4318.31"
"2024-02-08","East","4729.49"
"2024-05-23","West","3515.26"
"2024-06-01","East","3211.47"
"2024-02-29","East","3947.59"
"2024-06-22","North","1990.89"
"2024-09-22","South","4654.07"
"2024-05-04","East","609.92"
"2024-06-23","West","2881.01"
"2024-07-08","East","2858.2"
"2024-03-27","East","1165.04"
"2024-10-01","South","2743.61"
"2024-12-03","South","4703.82"
"2024-05-04","South","4454.47"
"2024-07-08","North","1067.59"
"2024-09-24","East","2255.98"
"2024-09-06","East","1801.58"
"2024-07-18","North","1523.08"
"2024-11-04","South","3840.74"
"2024-10-03","North","3328.33"
"2024-05-18","South","1385.54"
"2024-02-19","East","549.65"
"2024-06-01","West","1027.51"
"2024-03-30","North","4447.02"
"2024-06-12","West","4713.11"
"2024-01-15","South","3646.84"
"2024-11-27","North","1621.07"
"2024-02-16","South","4954.71"
"2024-03-19","North","2873.35"
"2024-12-05","South","195.7"
"2024-10-11","East","1001.85"
"2024-04-12","South","482.41"
"2024-08-17","West","1737.3"
"2024-02-08","West","3333.39"
"2024-04-01","West","3296"
"2024-06-17","East","697.1"
"2024-05-07","South","4892.1"
"2024-01-15","South","4407.18"
"2024-05-07","East","278.68"
"2024-04-09","South","2482.21"
"2024-07-11","West","2578.89"
"2024-03-03","West","1994.18"
"2024-09-14","East","2163.75"
"2024-11-12","West","2256.9"
"2024-05-22","South","2231.55"
"2024-08-26","South","2071.44"
"2024-05-03","South","3020.31"
"2024-06-11","North","615.32"
"2024-01-16","North","1643.74"
"2024-04-21","South","3598.26"
"2024-01-16","West","2378.03"
"2024-11-06","North","4126.64"
"2024-02-26","East","4832.11"
"2024-04-07","South","4666.61"
"2024-09-13","West","1998.17"
"2024-07-15","North","341.67"
